duration,packet_count,service,protocol_type,bytes_sent,bytes_received,total_bytes,avg_packet_size,source_ip,destination_ip,service_port,flag,timestamp,packet_loss,attack
266,105,ftp,udp,12312,19186,31498,299.9809523809524,115.65.9.124,8.186.104.87,40238,FIN,1735505942,0.015933760251668316,0
406,1082,ssh,udp,9652,7050,16702,15.4362292051756,212.196.177.171,234.117.180.208,61183,RST,1735505942,0.06441150319395636,0
175,424,http,udp,15809,15317,31126,73.41037735849056,108.207.35.177,203.18.197.91,44909,URG,1735505942,0.0432126262681537,0
253,3117,ftp,udp,13201,18372,31573,10.129290984921399,48.210.226.186,169.41.149.45,49367,FIN,1735505942,0.02341168344227026,0
384,2419,ssh,tcp,16055,17091,33146,13.702356345597355,171.95.242.14,184.144.164.85,33547,ACK,1735505942,0.09295011653493047,0
145,1779,ssh,tcp,10936,8671,19607,11.021360314783585,147.67.20.192,191.67.225.215,24099,SYN,1735505942,0.06133909556754216,0
461,1148,ssh,udp,5004,19525,24529,21.36672473867596,210.121.9.30,139.214.68.153,16770,ACK,1735505942,0.054530694587519184,0
152,3430,ftp,tcp,14121,15599,29720,8.66472303206997,47.5.29.87,68.137.85.67,12405,FIN,1735505942,0.08020672181101568,0
110,4500,ftp,tcp,6716,11111,17827,3.9615555555555555,14.181.132.213,27.196.107.185,49088,ACK,1735505942,0.024180986975105036,0
144,1105,ftp,udp,5979,12636,18615,16.846153846153847,158.45.80.181,110.99.101.171,37139,URG,1735505942,0.09606792721260252,0
160,3215,ssh,tcp,18819,5739,24558,7.638569206842924,150.205.124.36,107.211.245.255,53240,SYN,1735505942,0.0398521380922017,0
138,3883,http,udp,17979,11267,29246,7.53180530517641,132.255.227.169,55.74.232.138,61105,URG,1735505942,0.07686434553297528,0
398,293,ssh,tcp,11775,11510,23285,79.47098976109216,113.207.114.121,63.17.203.80,50867,SYN,1735505942,0.030322591250747512,0
488,3430,http,tcp,15584,17624,33208,9.681632653061225,195.161.48.16,232.206.99.246,45129,URG,1735505942,0.05096570723208957,0
321,3549,ftp,udp,7540,6526,14066,3.9633699633699635,206.229.53.99,13.8.0.101,30024,ACK,1735505942,0.01025164269298613,0
284,960,ssh,tcp,8820,9432,18252,19.0125,235.149.234.18,216.56.38.139,31793,ACK,1735505942,0.036054870268509696,0
360,1202,http,udp,7351,5745,13096,10.895174708818635,30.127.211.3,189.152.85.38,13304,RST,1735505942,0.010606340786773128,0
